pleiades_uri,wikidata_uri,wikidata_label,wikidata_description,wikidata_coordinates,chronique_id,dare_id,geonames_id,gettytgn_id,idaigaz_id,loc_id,manto_id,nomisma_id,topostext_id,trismegistos_id,viaf_id,vici_id,wikipedia_en
https://pleiades.stoa.org/places/207349,http://www.wikidata.org/entity/Q657786,Plješivica,mountain range,Point(15.75 44.783333333),,,3193164,,,,,,,,316747654,,https://en.wikipedia.org/wiki/Li%C4%8Dka_Plje%C5%A1ivica
https://pleiades.stoa.org/places/207354,http://www.wikidata.org/entity/Q12353900,Felsőpozsgás,,Point(21.580472 44.760152),,,,,,,,,,,,,
https://pleiades.stoa.org/places/207361,http://www.wikidata.org/entity/Q542391,Porolissum,Ancient Roman settlement in Dacia,Point(23.22361 47.18056),,21778,,6004778,,,,,472232UPor,30156,242164277,2154,https://en.wikipedia.org/wiki/Porolissum
https://pleiades.stoa.org/places/207362,http://www.wikidata.org/entity/Q3909485,Potaissa,Ancien Daco-Roman settlement in Dacia,,,21775,,,,,,,,,,,
https://pleiades.stoa.org/places/207363,http://www.wikidata.org/entity/Q2721346,Rutevac,"village in Nišava, Serbia",Point(21.6108 43.5917),,10882,786167,,,,,,,,,,https://en.wikipedia.org/wiki/Rutevac
https://pleiades.stoa.org/places/207365,http://www.wikidata.org/entity/Q2035904,Prahovo,village in Serbia,Point(22.587777777 44.293888888),,,786819,,,,,,,,,,https://en.wikipedia.org/wiki/Prahovo
https://pleiades.stoa.org/places/207374,http://www.wikidata.org/entity/Q2737947,Rakinac,"village in Podunavlje District, Serbia",Point(20.9931 44.2692),,,834902,,,,,,,,,,https://en.wikipedia.org/wiki/Rakinac
https://pleiades.stoa.org/places/207376,http://www.wikidata.org/entity/Q1309702,Ratiaria,city in Bulgaria,Point(22.91666667 43.81666667),,10897,,,,,,,438229URat,,,,https://en.wikipedia.org/wiki/Ratiaria
https://pleiades.stoa.org/places/207385,http://www.wikidata.org/entity/Q499798,Castrum Resculum,Roman fort in Dacia,Point(22.884611 46.885694),,23000,,,,,,,,4366,,,https://en.wikipedia.org/wiki/Resculum_(castra)
https://pleiades.stoa.org/places/207386,http://www.wikidata.org/entity/Q680163,Rgotina,village in Serbia,Point(22.267777777 44.011388888),,,786318,,,,,,,,,,https://en.wikipedia.org/wiki/Rgotina
https://pleiades.stoa.org/places/207390,http://www.wikidata.org/entity/Q1189096,Ribița,"commune in Hunedoara County, Romania",Point(22.76666667 46.18333333),,,668927,,,,,,,,,,https://en.wikipedia.org/wiki/Ribi%C8%9Ba
https://pleiades.stoa.org/places/207392,http://www.wikidata.org/entity/Q288536,Surduk,village in Serbia,Point(20.325555555 45.070833333),,,785287,,,n85179043,,,,29302,130252715,,https://en.wikipedia.org/wiki/Surduk
https://pleiades.stoa.org/places/207393,http://www.wikidata.org/entity/Q12148604,Rocșoreni,"village in Mehedinți County, Romania",Point(23.066796 44.531832),,,668777,,,,,,,,,,
https://pleiades.stoa.org/places/207397,http://www.wikidata.org/entity/Q2039400,Rudna Glava,village in eastern Serbia,Point(22.06861111 44.33888889),,,786209,,,n83215968,,,,,146623107,,
https://pleiades.stoa.org/places/207404,http://www.wikidata.org/entity/Q211343,Pljevlja,city in Montenegro,Point(19.350208333 43.356616666),,26437,3193161,,,n80057129,,,,,148920278,,https://en.wikipedia.org/wiki/Pljevlja
https://pleiades.stoa.org/places/207409,http://www.wikidata.org/entity/Q5824576,Salash,village in Iran,Point(49.7669 37.1031),,,,,,,,,,,,,https://en.wikipedia.org/wiki/Salash
https://pleiades.stoa.org/places/207410,http://www.wikidata.org/entity/Q1040487,Salaš Noćajski,"village in Sremska Mitrovica municipality, Serbia",Point(19.58333333 44.95),,,3191339,,,,,,,,316747765,,https://en.wikipedia.org/wiki/Sala%C5%A1_No%C4%87ajski
