pleiades,item,itemLabel,chronique_ids,dare_ids,geonames_ids,gettytgn_ids,idaigaz_ids,loc_ids,manto_ids,nomisma_ids,topostext_ids,trismegistos_ids,viaf_ids,vici_ids,wikipedia_en
579905,http://www.wikidata.org/entity/Q13424317,Daidalidai,,31117,,,,,,,380237DDai,,,,https://en.wikipedia.org/wiki/Daedalidae
511328,http://www.wikidata.org/entity/Q622319,Mysia,,,,7016748,,,8194746,mysia,375275RMys,,,,https://en.wikipedia.org/wiki/Mysia
331947243,http://www.wikidata.org/entity/Q97632336,Necrópolis fenicia de Jardín,,,10228026,,,,,,,,,,
108757,http://www.wikidata.org/entity/Q1009681,Arnières-sur-Iton,,,6447934,,,,,,,,12144648169234289128,,https://en.wikipedia.org/wiki/Arni%C3%A8res-sur-Iton
338243,http://www.wikidata.org/entity/Q130280520,Q130280520,,,,,,,,,,41733,,,
118628,http://www.wikidata.org/entity/Q103189459,Pförring (Samian Ware Discovery Site),,,,,,,,,,,,,
413354,http://www.wikidata.org/entity/Q20579,Todi,,16578,6536883,,,n79070136,,,,,312794497,,https://en.wikipedia.org/wiki/Todi
863774,http://www.wikidata.org/entity/Q12863534,Dablagomi,,,,,,,,,,,,,
310115518,http://www.wikidata.org/entity/Q3708916,Dipylon,,,9782015,,,,,,380237FDip,,,,https://en.wikipedia.org/wiki/Dipylon
1001938,http://www.wikidata.org/entity/Q11921789,Phoenice II,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Phoenice_Libanensis
216788,http://www.wikidata.org/entity/Q1201664,Develtos,,21782,,,,,,,424273UDeu,15881,,,https://en.wikipedia.org/wiki/Develtos
589886,http://www.wikidata.org/entity/Q1481525,Kydonia,,23375,,,,,10267359,,355240PKyd,,,,https://en.wikipedia.org/wiki/Kydonia
552440217,http://www.wikidata.org/entity/Q10714872,Via Claudia Valeria,,,,,,,,,,,,,
531034,http://www.wikidata.org/entity/Q981081,Palairos,,31618,256054,,,,,,388208PPal,37641,,,https://en.wikipedia.org/wiki/Palairos
599845,http://www.wikidata.org/entity/Q65065065,Palaemyndus,,29021,,,,,,,370273UPal,,,,https://en.wikipedia.org/wiki/Palaemyndus
138373,http://www.wikidata.org/entity/Q55950714,Gergovia,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Gergovia
648792,http://www.wikidata.org/entity/Q172556,Taurus mountains,,43309,298930,,2043756,,,,370332LTau,14005,315127904,,https://en.wikipedia.org/wiki/Taurus_Mountains
487031708,http://www.wikidata.org/entity/Q6924107,Mount Thourion,,45283,,,,,,,385228LTho,58700,,,https://en.wikipedia.org/wiki/Mount_Thourion
580021,http://www.wikidata.org/entity/Q212150,Marathon,,,257717,,,n95023556,,,,,125646842,,"https://en.wikipedia.org/wiki/Marathon,_Greece"
609366,http://www.wikidata.org/entity/Q15806224,Dokimeion,,21261,,,,,,,389308UDok,,,,
40304,http://www.wikidata.org/entity/Q441028,Mountains of the Moon,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Mountains_of_the_Moon_(Africa)
746811,http://www.wikidata.org/entity/Q1462523,Serabit el-Khadim,,,349599,,,,,,,,241855739,,https://en.wikipedia.org/wiki/Serabit_el-Khadim
413283,http://www.wikidata.org/entity/Q13396,Rieti,,1527,6541462,,,n81003093,,,424129URea,10929,237365086,,https://en.wikipedia.org/wiki/Rieti
197253,http://www.wikidata.org/entity/Q171009,Drava,,44004,"3323886,2780703",,,sh85039397,,,,51250,240065078,,https://en.wikipedia.org/wiki/Drava
931407499,http://www.wikidata.org/entity/Q1510,ancient theatre of Lyon,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Ancient_Theatre_of_Fourvi%C3%A8re
629054,http://www.wikidata.org/entity/Q85793159,Phlara,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Phlara
307220778,http://www.wikidata.org/entity/Q12506,Hagia Sophia,,,6947665,,,n79058868,,,410290EASo,,127136890,,https://en.wikipedia.org/wiki/Hagia_Sophia
89296,http://www.wikidata.org/entity/Q31312419,Kinnaird Head,,,2645380,,,,,,,,,,https://en.wikipedia.org/wiki/Kinnaird_Head
118808,http://www.wikidata.org/entity/Q384403,Litoměřice,,,3071677,7011695,,n83006459,,,,,158309037,,https://en.wikipedia.org/wiki/Litom%C4%9B%C5%99ice
989985817,http://www.wikidata.org/entity/Q108513185,Temple of Athena (Assos),,,,,,,,,,,,11522,
413097,http://www.wikidata.org/entity/Q3681712,Cluviae,,22941,,,,,,,421143UClu,,304911320,,
334583,http://www.wikidata.org/entity/Q111338011,Macomades,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Macomades
236370,http://www.wikidata.org/entity/Q5757957,Castro Ventosa,,"27995,33658",,,,,,,426000UBer,,,,
648577,http://www.wikidata.org/entity/Q85744131,Augusta,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Augusta_(Cilicia)
89314,http://www.wikidata.org/entity/Q7932358,Vindomora,,23090,,,,,,,,14536,,3829,https://en.wikipedia.org/wiki/Vindomora
540679,http://www.wikidata.org/entity/Q38280358,Temple of Athena Kranaia,,,,,,,,,387228SAth,,,,
295240,http://www.wikidata.org/entity/Q15052636,Cartennas,,22136,,,,,,,,,,,https://en.wikipedia.org/wiki/Cartennae
584272774,http://www.wikidata.org/entity/Q104907509,Catacombs of Sant'Ilario,,,,,,,,,,,,,
839097640,http://www.wikidata.org/entity/Q113112632,"Tomba Lattanzi, Norchia",,,,,,,,,,,,,
501343,http://www.wikidata.org/entity/Q17620105,Acrothoum,,32294,,,,,,,402243PAkr,,,,https://en.wikipedia.org/wiki/Acrothoum
877521473,http://www.wikidata.org/entity/Q112208753,Temple of Athena at Ilion,,,,,,,,,,,,24000,
